index,유기번호,썸네일,접수일,발견장소,품종,색상,나이,체중,공고번호,공고시작일,공고종료일,이미지,성별,중성화여부,특징,보호소이름,보호소전화번호,보호장소,관할기관,담당자,담당자연락처,특이사항,상태,x,y,SPECIAL_WORD,건강,친화성+,친화성-,친화성+강조,친화성-강조,api_친화성,api_건강점수,1년미만,출생연도,만나이,1년미만_주환산,1년이상_주환산,나이_주환산,체중_숫자,F,M,Q,N,U,Y,군집
10,441401202201624,http://www.animal.go.kr/files/shelter/2022/11/202211061711666_s.jpg,20221106,은행119센터 근처,[개] 믹스견,흰색,2017(년생),13(Kg),경기-시흥-2022-00673,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/202211061711666.jpg,M,N,성격 온순,시흥동물누리보호센터,031-310-6943,경기도 시흥시 뒷방울길 218 (정왕동) ,경기도 시흥시,최아름,031-310-2247,-,보호중,126.74254229678,37.3739688541248,성격 온순,[],[['성격 온순']],[],[],[],1,7,[],2017,5,None,260,260.0,13.0,0,1,0,1,0,0,48
11,441401202201623,http://www.animal.go.kr/files/shelter/2022/11/202211061611806_s.jpg,20221106,조남동 694,[개] 믹스견,황색,2022(년생),10(Kg),경기-시흥-2022-00672,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/202211061611806.jpg,M,N,"쓰러져서 발견, 교통사고 추정",시흥동물누리보호센터,031-310-6943,경기도 시흥시 뒷방울길 218 (정왕동) ,경기도 시흥시,최아름,031-310-2247,-,보호중,126.74254229678,37.3739688541248,쓰러지 발견 교통사고 추정,"[['쓰러져서 발견, 교통사고 추정'], ['쓰러져서 발견, 교통사고 추정']]",[],[],[],[],0,5,[],2022,0,None,0,27.0,10.0,0,1,0,1,0,0,16
12,441401202201622,http://www.animal.go.kr/files/shelter/2022/11/202211061511963_s.jpg,20221106,은계초교 앞,[개] 진도견,흰색,2010(년생),12(Kg),경기-시흥-2022-00671,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/202211061511963.jpg,M,N,파란색 옷 착용,시흥동물누리보호센터,031-310-6943,경기도 시흥시 뒷방울길 218 (정왕동) ,경기도 시흥시,최아름,031-310-2247,-,보호중,126.74254229678,37.3739688541248,파란색 옷 착용,[],[],[],[],[],0,7,[],2010,12,None,624,624.0,12.0,0,1,0,1,0,0,7
13,429363202200746,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221106,광산구 월곡동,[개] 믹스견,"흰,갈",2019(년생),4.5(Kg),광주-광산-2022-00739,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/20221106151121.jpg,F,U,22-1129 여명,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소,광주광역시 광산구,광산구,062-571-2808,-,보호중,126.88177151997,35.2225551714642,여명,[],[],[],[],[],0,7,[],2019,3,None,156,156.0,4.5,1,0,0,0,1,0,8
14,429363202200745,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221106,광산구 신창동,[개] 믹스견,"검,갈",2020(년생),12(Kg),광주-광산-2022-00738,20221106,20221116,http://www.animal.go.kr/files/shelter/2022/11/202211061511922.jpg,F,U,22-1128 디바,광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소,광주광역시 광산구,광산구,062-571-2808,-,보호중,126.88177151997,35.2225551714642,디 바,[],[],[],[],[],0,7,[],2020,2,None,104,104.0,12.0,1,0,0,0,1,0,27
17,469569202200866,http://www.animal.go.kr/files/shelter/2022/11/202211051911551_s.jpg,20221105,금남면 용포리 124-1,[개] 믹스견,갈색,2018(년생),3.9(Kg),세종-세종-2022-00380,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051911551.jpg,F,U,심장사상충 음성,세종유기동물보호센터,010-4435-3720,세종특별자치시  전동면 미륵당1길 188 (전동면) ,세종특별자치시,동물복지담당,044-300-7615,-,보호중,127.221377295742,36.6730329753381,심장 사상충 음성,[['심장사상충 음성']],[],[],[],[],0,6,[],2018,4,None,208,208.0,3.9,1,0,0,0,1,0,26
18,448546202200681,http://www.animal.go.kr/files/shelter/2022/11/202211051311228_s.jpg,20221105,병곡면,[개] 믹스견,흰색,2022(년생),3(Kg),경남-함양-2022-00231,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051311228.jpeg,M,N,"믹스견, 흰색, 수컷, 약 3kg 정도, 온순함, 형제",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,-,055-960-8140,-,보호중,127.741397277298,35.5075918623808,믹스 견 흰색 수컷 약 3 정도 온순 형제,[],"[['믹스견, 흰색, 수컷, 약 3kg 정도, 온순함, 형제'], ['믹스견, 흰색, 수컷, 약 3kg 정도, 온순함, 형제']]",[],[],[],2,7,[],2022,0,None,0,27.0,3.0,0,1,0,1,0,0,29
19,448546202200680,http://www.animal.go.kr/files/shelter/2022/11/202211051311893_s.jpg,20221105,병곡면,[개] 믹스견,흰색,2022(년생),3(Kg),경남-함양-2022-00230,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051311893.jpeg,F,N,"믹스견, 흰색, 암컷, 약 3kg 정도, 온순함, 형제",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,-,055-960-8140,-,보호중,127.741397277298,35.5075918623808,믹스 견 흰색 암컷 약 3 정도 온순 형제,[],"[['믹스견, 흰색, 암컷, 약 3kg 정도, 온순함, 형제'], ['믹스견, 흰색, 암컷, 약 3kg 정도, 온순함, 형제']]",[],[],[],2,7,[],2022,0,None,0,27.0,3.0,1,0,0,1,0,0,29
20,448546202200679,http://www.animal.go.kr/files/shelter/2022/11/202211051311265_s.jpg,20221105,병곡면,[개] 믹스견,"검은색, 연한황토",2022(년생),8(Kg),경남-함양-2022-00229,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051311265.jpeg,M,N,"믹스견, 검은색과 연환황토 섞여져있음, 약 8kg 정도, 온순함",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,-,055-960-8140,-,보호중,127.741397277298,35.5075918623808,믹스 견 검은색 연환 황토 섞이 지 있음 약 8 정도 온순,[],"[['믹스견, 검은색과 연환황토 섞여져있음, 약 8kg 정도, 온순함'], ['믹스견, 검은색과 연환황토 섞여져있음, 약 8kg 정도, 온순함']]",[],[],[],2,7,[],2022,0,None,0,27.0,8.0,0,1,0,1,0,0,34
21,448546202200678,http://www.animal.go.kr/files/shelter/2022/11/202211051311783_s.jpg,20221105,수동면 내백마을,[개] 믹스견,흰색,2022(년생),4(Kg),경남-함양-2022-00228,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051311783.jpeg,F,N,"믹스견, 암컷, 약 4kg 정도 추정, 온순함",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,-,055-960-8140,-,보호중,127.741397277298,35.5075918623808,믹스 견 암컷 약 4 정도 추정 온순,[],"[['믹스견, 암컷, 약 4kg 정도 추정, 온순함'], ['믹스견, 암컷, 약 4kg 정도 추정, 온순함']]",[],[],[],2,7,[],2022,0,None,0,27.0,4.0,1,0,0,1,0,0,29
22,448546202200677,http://www.animal.go.kr/files/shelter/2022/11/202211051311807_s.jpg,20221105,지곡면,[개] 믹스견,흰색,2019(년생),10(Kg),경남-함양-2022-00227,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051311807.jpeg,M,N,"믹스견, 수컷, 약 3살정도, 약 10kg 정도, 경계가 심함",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,-,055-960-8140,-,보호중,127.741397277298,35.5075918623808,믹스 견 수컷 약 3 살 정도 약 10 정도 경계 심,[],[],"[['믹스견, 수컷, 약 3살정도, 약 10kg 정도, 경계가 심함']]",[],[],-1,7,[],2019,3,None,156,156.0,10.0,0,1,0,1,0,0,32
23,448546202200676,http://www.animal.go.kr/files/shelter/2022/11/202211051311870_s.jpg,20221105,지곡면,[개] 믹스견,흰색,2020(년생),8(Kg),경남-함양-2022-00226,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051311870.jpeg,F,N,"믹스견, 흰색, 암컷, 약 2살, 약 8kg 정도, 온순함",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,-,055-960-8140,-,보호중,127.741397277298,35.5075918623808,믹스 견 흰색 암컷 약 2 살 약 8 정도 온순,[],"[['믹스견, 흰색, 암컷, 약 2살, 약 8kg 정도, 온순함'], ['믹스견, 흰색, 암컷, 약 2살, 약 8kg 정도, 온순함']]",[],[],[],2,7,[],2020,2,None,104,104.0,8.0,1,0,0,1,0,0,34
24,448546202200675,http://www.animal.go.kr/files/shelter/2022/11/202211051311455_s.jpg,20221105,안의면,[개] 믹스견,연한 황토,2019(년생),8(Kg),경남-함양-2022-00225,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051311455.jpeg,F,N,"믹스견, 연한 황토, 암컷, 약 3살정도 추정, 약 8kg 정도, 온순함",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,-,055-960-8140,-,보호중,127.741397277298,35.5075918623808,믹스 견 연 황토 암컷 약 3 살 정도 추정 약 8 정도 온순,[],"[['믹스견, 연한 황토, 암컷, 약 3살정도 추정, 약 8kg 정도, 온순함'], ['믹스견, 연한 황토, 암컷, 약 3살정도 추정, 약 8kg 정도, 온순함']]",[],[],[],2,7,[],2019,3,None,156,156.0,8.0,1,0,0,1,0,0,34
25,448546202200674,http://www.animal.go.kr/files/shelter/2022/11/202211051311334_s.jpg,20221105,안의면,[개] 믹스견,흰색,2022(년생),3(Kg),경남-함양-2022-00224,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051311334.jpeg,M,N,"믹스견, 흰색, 수컷, 약3kg 정도, 온순함",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,-,055-960-8140,-,보호중,127.741397277298,35.5075918623808,믹스 견 흰색 수컷 약 3 정도 온순,[],"[['믹스견, 흰색, 수컷, 약3kg 정도, 온순함'], ['믹스견, 흰색, 수컷, 약3kg 정도, 온순함']]",[],[],[],2,7,[],2022,0,None,0,27.0,3.0,0,1,0,1,0,0,29
30,447511202200693,http://www.animal.go.kr/files/shelter/2022/11/202211051911920_s.jpg,20221105,낙양동 일대,[개] 믹스견,"흰색,검정",2020(년생),12(Kg),경북-상주-2022-00342,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051911920.jpg,M,U,"사람을 경계, 치료 받음",상주시 동물보호센터,010-9270-1191,경상북도 상주시 청리면 남상주로 1205-59  ,경상북도 상주시,이상원,054-537-7471,-,보호중,128.130756779311,36.3437555567961,사람 경계 치료 받,[],[],"[['사람을 경계, 치료 받음']]",[],[],-1,7,[],2020,2,None,104,104.0,12.0,0,1,0,0,1,0,18
31,447508202201191,http://www.animal.go.kr/files/shelter/2022/11/202211051211659_s.jpg,20221105,옥계 세영리첼  후문,[개] 요크셔 테리어,은.회색,2019(년생),4.9(Kg),경북-구미-2022-00687,20221105,20221117,http://www.animal.go.kr/files/shelter/2022/11/202211051211659.jpg,M,N,온순하고 잘따름,구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206  ,경상북도 구미시,백창훈,054-480-5842,-,보호중,128.36935298897,36.2025476781908,온순 자,[],"[['온순하고 잘따름'], ['온순하고 잘따름'], ['온순하고 잘따름']]",[],[['온순하고 잘따름']],[],4,7,[],2019,3,None,156,156.0,4.9,0,1,0,1,0,0,28
32,447502202201981,http://www.animal.go.kr/files/shelter/2022/11/202211051511830_s.jpg,20221105,경상북도 포항시 북구 흥해읍 초곡지구로52번길 6,[개] 믹스견,아이보리 황,2022(년생),4.5(Kg),경북-포항-2022-01145,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051511830.jpg,F,N,"3개월,5마리 같이 입소,대형견 아기,쌍커플이 진한 반복슬?의 귀요미,겁쟁이이나 매우 순함",영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,경상북도 포항시,이형석,054-270-3368,-,보호중,129.332619962705,36.1456836112171,3 개월 5 같이 입소 대형 견 아기 쌍 커플 진하 반복 슬 귀요 미 겁쟁이 매우 순,[],"[['3개월,5마리 같이 입소,대형견 아기,쌍커플이 진한 반복슬?의 귀요미,겁쟁이이나 매우 순함']]","[['3개월,5마리 같이 입소,대형견 아기,쌍커플이 진한 반복슬?의 귀요미,겁쟁이이나 매우 순함']]","[['3개월,5마리 같이 입소,대형견 아기,쌍커플이 진한 반복슬?의 귀요미,겁쟁이이나 매우 순함']]",[],1,7,['3개월'],2022,0,13.5,0,13.5,4.5,1,0,0,1,0,0,9
33,447502202201980,http://www.animal.go.kr/files/shelter/2022/11/202211051411118_s.jpg,20221105,경상북도 포항시 북구 흥해읍 초곡지구로52번길 6,[개] 믹스견,아이보리,2022(년생),4.5(Kg),경북-포항-2022-01144,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051411118.jpg,F,N,"3개월,5마리같이,대형견 아기,완벽한 백구아기의 외모,흰바탕에 까만점 3개~,겁쟁이이나 매우 순함",영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,경상북도 포항시,이형석,054-270-3368,-,보호중,129.332619962705,36.1456836112171,3 개월 5 같이 대형 견 아기 완벽 백구 아기 외모 흰바탕 까맣 점 3 개 겁쟁이 매우 순,[],"[['3개월,5마리같이,대형견 아기,완벽한 백구아기의 외모,흰바탕에 까만점 3개~,겁쟁이이나 매우 순함']]","[['3개월,5마리같이,대형견 아기,완벽한 백구아기의 외모,흰바탕에 까만점 3개~,겁쟁이이나 매우 순함']]","[['3개월,5마리같이,대형견 아기,완벽한 백구아기의 외모,흰바탕에 까만점 3개~,겁쟁이이나 매우 순함']]",[],1,7,['3개월'],2022,0,13.5,0,13.5,4.5,1,0,0,1,0,0,9
34,447502202201979,http://www.animal.go.kr/files/shelter/2022/11/202211051511254_s.jpg,20221105,경상북도 포항시 북구 흥해읍 초곡지구로52번길 6,[개] 믹스견,초코 아이보리,2022(년생),5(Kg),경북-포항-2022-01143,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051511254.jpg,M,N,"3개월,5마리같이,대형견 아기,초코색에 북실북실한 털이 성장후의 모습이 기대됨,겁쟁이이나 매우 순함",영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,경상북도 포항시,이형석,054-270-3368,-,보호중,129.332619962705,36.1456836112171,3 개월 5 같이 대형 견 아기 코 색 북 실북 실 털이 성장 후 모습 기대 겁쟁이 매우 순,[],"[['3개월,5마리같이,대형견 아기,초코색에 북실북실한 털이 성장후의 모습이 기대됨,겁쟁이이나 매우 순함']]","[['3개월,5마리같이,대형견 아기,초코색에 북실북실한 털이 성장후의 모습이 기대됨,겁쟁이이나 매우 순함']]","[['3개월,5마리같이,대형견 아기,초코색에 북실북실한 털이 성장후의 모습이 기대됨,겁쟁이이나 매우 순함']]",[],1,7,['3개월'],2022,0,13.5,0,13.5,5.0,0,1,0,1,0,0,9
35,447502202201978,http://www.animal.go.kr/files/shelter/2022/11/202211051411301_s.jpg,20221105,경상북도 포항시 북구 흥해읍 초곡지구로52번길 6,[개] 믹스견,황 아이보리,2022(년생),4(Kg),경북-포항-2022-01142,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051411301.jpg,F,N,"3개월,5마리같이입소,대형견 아기,오밀조밀 귀여운 입매에 선명한 눈빛을 지닌 아이,겁쟁이이나 매우 순함",영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,경상북도 포항시,이형석,054-270-3368,-,보호중,129.332619962705,36.1456836112171,3 개월 5 입소 대형 견 아기 오밀조밀 귀엽 입매 선명 눈빛 지니 아이 겁쟁이 매우 순,[],"[['3개월,5마리같이입소,대형견 아기,오밀조밀 귀여운 입매에 선명한 눈빛을 지닌 아이,겁쟁이이나 매우 순함']]","[['3개월,5마리같이입소,대형견 아기,오밀조밀 귀여운 입매에 선명한 눈빛을 지닌 아이,겁쟁이이나 매우 순함']]","[['3개월,5마리같이입소,대형견 아기,오밀조밀 귀여운 입매에 선명한 눈빛을 지닌 아이,겁쟁이이나 매우 순함']]",[],1,7,['3개월'],2022,0,13.5,0,13.5,4.0,1,0,0,1,0,0,9
36,447502202201977,http://www.animal.go.kr/files/shelter/2022/11/202211051411573_s.jpg,20221105,경상북도 포항시 북구 흥해읍 초곡지구로52번길 6,[개] 믹스견,아이보리,2022(년생),4.5(Kg),경북-포항-2022-01141,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051411573.jpg,M,N,"3개월, 5마리 같이 입소, 대형견 아기, 북슬북슬한 털이 관리하면 멋질 아이,겁쟁이이나 매우 순함",영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,경상북도 포항시,이형석,054-270-3368,-,보호중,129.332619962705,36.1456836112171,3 개월 5 마리 같이 입소 대형 견 아기 북슬북슬 털이 관리 멋지 아이 겁쟁이 매우 순,[],"[['3개월, 5마리 같이 입소, 대형견 아기, 북슬북슬한 털이 관리하면 멋질 아이,겁쟁이이나 매우 순함']]","[['3개월, 5마리 같이 입소, 대형견 아기, 북슬북슬한 털이 관리하면 멋질 아이,겁쟁이이나 매우 순함']]","[['3개월, 5마리 같이 입소, 대형견 아기, 북슬북슬한 털이 관리하면 멋질 아이,겁쟁이이나 매우 순함']]",[],1,7,['3개월'],2022,0,13.5,0,13.5,4.5,0,1,0,1,0,0,9
37,447502202201976,http://www.animal.go.kr/files/shelter/2022/11/202211051411669_s.jpg,20221105,경상북도 포항시 북구 흥해읍 이인리 산230,[개] 믹스견,아이보리 황,2021(년생),7(Kg),경북-포항-2022-01140,20221105,20221115,http://www.animal.go.kr/files/shelter/2022/11/202211051411669.jpg,M,N,"목테착용(빨강바탕-검정가죽 포인트),믹스외형에 도고아르젠티노 털무늬를 가짐,순하나 집을 잘 지킬 성격",영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,경상북도 포항시,이형석,054-270-3368,-,보호중,129.332619962705,36.1456836112171,목 테 착용 빨강 바탕 검정 가죽 포인트 믹스 외형 도고 아르 티 노 털 무늬 가지 순하 집 잘 지키 성격,[],"[['목테착용(빨강바탕-검정가죽 포인트),믹스외형에 도고아르젠티노 털무늬를 가짐,순하나 집을 잘 지킬 성격']]",[],[],[],1,7,[],2021,1,None,52,52.0,7.0,0,1,0,1,0,0,46
