,유기번호,품종,나이,체중,특징,특징단어
24,447523202200582,[개] 믹스견,2016(년생),6(Kg),이사간다고 유기함버린게 아니라 맡긴거라고 말도안되는 변명함.다시는 키우지말고 뿌린대로 거두시길,이사 갈 유 기함 버리 맡기 말 안되 변명 다시 키우 뿌리 거두
25,447518202200397,[개] 믹스견,2012(년생),10(Kg),사람을 조금 경계함,사람 조금 경계
26,447518202200396,[개] 믹스견,2021(년생),10(Kg),초록색 목줄 착용 ,초록색 목줄 착용
27,447518202200395,[개] 믹스견,2022(년생),6(Kg),온순하고 사람을 잘 따름,온순 사람 자
28,447516202200234,[개] 믹스견,2012(년생),7(Kg),진보면 시량리에서 여러마리가 돌아다녀 포획됨,진보면 시량 돋 다니 포획
29,447514202200115,[개] 믹스견,2022(년생),0.8(Kg),사람에 대한 호기심이 강하고 순한 편,사람 대하 호기심 강하 순하 편
30,447514202200114,[개] 믹스견,2021(년생),2.8(Kg),사람에 대한 경계심은 있지만 순한 편,사람 대하 경계심 있 순하 편
31,447513202201028,[개] 믹스견,2022(년생),13.3(Kg),주택 인근에서 새끼와 함께 구조,주택 인근 새끼 함께 구조
32,447512202200655,[개] 믹스견,2022(년생),7(Kg),"순하고 착함,4개월령 강아지",순하 착하 4 개 월령 강아지
33,447512202200654,[개] 믹스견,2022(년생),0.7(Kg),어미가사망한 15일령 자견4마리함께,어미 사망 15 일령 자견 4 마리 함께
34,447512202200653,[개] 믹스견,2022(년생),0.8(Kg),어미가사망한 15일령 자견4마리함께,어미 사망 15 일령 자견 4 마리 함께
35,447512202200652,[개] 믹스견,2022(년생),0.8(Kg),어미가사망한 15일령 자견4마리함께,어미 사망 15 일령 자견 4 마리 함께
36,447512202200651,[개] 믹스견,2022(년생),0.8(Kg),어미가사망한 15일령 자견4마리함께,어미 사망 15 일령 자견 4 마리 함께
37,447512202200650,[고양이] 한국 고양이,2022(년생),1(Kg),3개월령 고양이이며 호흠기감염 설사,3 개 월령 고양이 흠 기 감염 설사
38,447511202200604,[고양이] 믹스묘,2022(년생),0.1(Kg),혼자 발견되어 구조된 아기고양이,혼자 발견 구조 아기 고양이
39,447508202201176,[개] 믹스견,2022(년생),1.9(Kg),"온순하고 활발함,  671번의 자견",온순 활발 671 번 자견
40,447508202201175,[개] 믹스견,2019(년생),6.7(Kg),"빨간색 목줄 착용, 온순함",빨간색 목줄 착용 온순
41,447508202201174,[개] 믹스견,2020(년생),19.5(Kg),"앞 왼발 덫에걸려 상처, 온순함",앞 왼발 덫 걸리 상처 온순
42,447508202201173,[개] 믹스견,2021(년생),6.7(Kg),"우측뒷발 덫에걸려 심한 상처,온순함.",우 뒷발 덫 걸리 심 상처 온순
43,447505202201271,[개] 시츄,2014(년생),4.4(Kg),"신고자입양희망,사상충양성(신고자검진결과)",신고자 입양 희망 사상충 양성 신고자 검진 결과
44,447505202201270,[개] 믹스견,2022(년생),5.3(Kg),"겁이 약간 있어 사람 손길을 낯설어 함, 친화 노력 필요할 듯",겁 약간 있 사람 손길 낯설 함 친 호 노력 필요
45,447505202201269,[개] 믹스견,2022(년생),3.3(Kg),"애교많고 사람 좋아하는 댕댕이, 놀아달라며 졸졸 따라다니는 겸둥이",애교 많 사람 좋아하 댕댕이 놀 졸졸 따라다니 겸
46,447505202201268,[개] 웰시 코기 펨브로크,2022(년생),20(Kg),"칩 확인 완료, 주인에게 반환예정",칩 확인 완료 주인 반환 예정
47,447505202201267,[고양이] 한국 고양이,2022(년생),0.35(Kg),인공포유필요,인공 포유 필요
48,447505202201266,[개] 퍼그,2021(년생),4.5(Kg),"똘망똘망 큰 눈, TV광고에서 본듯한 얼굴, 온순하고 사람을 좋아함, 칩없음",망 망 크 눈 광고 보 얼굴 온순 사람 좋아하 칩 없
49,447505202201265,[고양이] 한국 고양이,2022(년생),0.25(Kg),"허피스 심각, 예후불량",허 피스 심각 예후 불량
50,447505202201264,[개] 믹스견,2020(년생),6(Kg),신고자 입양 희망,신고자 입양 희망
51,447502202201807,[고양이] 한국 고양이,2022(년생),0.2(Kg),"1.5개월, 허피스 심함, 목소리에 힘이 없음, 힘이 없어 기립이 안됨",1.5 개월 허 피스 심 목 소리 힘 없 힘 없 기립 안됨
52,447502202201805,[개] 믹스견,2022(년생),3.5(Kg),"자매 같이 입소, 모찌모찌 뽀얀 진도믹스 아기, 3개월, 좀 더 작고 더 순한편,금방친해질듯!",자매 같이 입소 모 찌 모 찌 뽀얗 진도 믹스 아기 3 개월 좀 더 작고 더 순하 금방 친하
53,447502202201804,[개] 믹스견,2022(년생),4(Kg),"자매 같이 입소, 모찌모찌 뽀얀 진도믹스 아기, 3개월, 엄청 소심하나 순딩이~ 좀 더 큼",자매 같이 입소 모 찌 모 찌 뽀얗 진도 믹스 아기 3 개월 엄청 소심 좀 더 크
54,447502202201803,[개] 믹스견,2019(년생),4.8(Kg),"푸들믹스,남의 집 앞에 3시간 정도 묶여있었다함, 파랑가슴줄+파랑리드줄+빨강리드줄 착용, 온순함",푸들 믹스 남 집 앞 3 시간 정도 묶이 함 파랑 가슴 줄 파랑 리드 줄 빨강 리드 줄 착용 온순
55,446498202200516,[개] 진도견,2020(년생),18(Kg),"119구조대 신고 구조되어 보호소입소.베이지색 목줄을 착용.제발 풀어놓고 키우지 마세요,",119 구조대 신고 구조 보호소 입소 베이지색 목줄 착용 제발 풀어놓 키우 마 세요
56,446498202200515,[개] 믹스견,2022(년생),4(Kg),작은 박스와 함께 쇠줄에 묶여 길가에 있었음. 아직 너무 어린 아가입니다. 가족이 되어주세요. ,작 박스 함께 쇠줄 묶이 길가 있 아직 너무 어리 아가 가족 되
57,446498202200514,[개] 믹스견,2020(년생),16(Kg),사람을 너무 좋아하는 세상 순둥이. 소중한 생명입니다 지켜주세요. 가족이 되어주세요. ,사람 너무 좋아하 세상 순 소중 생명 지키 가족 되
58,446498202200513,[개] 믹스견,2021(년생),17(Kg),진트리버.남의 집에 들어와 먹고 자고 할정도로 사회성 최고. 세상 성격좋은 댕댕이.,진 남의 집 들어오 먹 자 하 정도 사회성 최고 세상 성격 좋 댕댕이
59,446498202200512,[개] 올드 잉글리쉬 쉽독,2021(년생),17(Kg),덩치만 큰 밝은 성격에 세상순하고 착한아이. 사람을 너무 좋아해요. ,덩치 크 밝 성격 세상 순 착하 아이 사람 너무 좋아하
60,446498202200511,[개] 믹스견,2019(년생),8(Kg),피부병이 심한상태에 임신까지 한 아이가 불쌍해 신고인이 밥을 챙겨주었는데 동네 민원으로 보호소입소,피부병 심하 상태 임신 아이 불쌍 신고인 밥 챙기 동네 민원 보호소 입소
61,446498202200510,[개] 벨기에 그로넨달,2019(년생),18(Kg),덩치큰 검정개가 글램핑장에 들어와 손님들이 무서워한다고 신고. 세상순하고 착한아이. 무섭지 않아요.,덩치 크 검정 개가 글 램 핑 장 들어오 손님 무서워하 신고 세상 순 착하 아이 무섭
62,446495202200359,[개] 믹스견,2022(년생),6.2(Kg),힘없이 천천히 움직이고 임신처럼 배가 많이 불러있고 항문에 파리가 많이 붙어있음,힘없이 천천히 움직이 임신 배 많이 불르 항문 파리 많이 붙
63,446494202200509,[개] 믹스견,2022(년생),8(Kg),사람과 매우 친화적이며 초록색 목줄을 착용중이다,사람 매우 친화 초록색 목줄 착용 중이
64,446494202200508,[개] 믹스견,2019(년생),10(Kg),사람과 친화적이며 소심함,사람 친화 소심
65,446494202200507,[개] 믹스견,2022(년생),2(Kg),겁이 많고 소심함,겁 많 소심
66,446494202200506,[개] 믹스견,2022(년생),2(Kg),겁이 많고 소심함,겁 많 소심
67,446494202200505,[개] 믹스견,2022(년생),2(Kg),사람과 대체로 친화적이며 겁이 많음,사람 대체 친화 겁 많
68,446494202200504,[개] 믹스견,2018(년생),15(Kg),사람과 매우 친화적이며 온순함,사람 매우 친화 온순
69,446494202200503,[개] 믹스견,2018(년생),15(Kg),사람과 매우 친화적이며 온순함,사람 매우 친화 온순
70,446494202200502,[개] 시베리안 허스키,2018(년생),21(Kg),사람과 대체로 친화적이며 검정 목줄을 착용중이다,사람 대체 친화 검정 목줄 착용 중이
71,446494202200501,[개] 믹스견,2020(년생),15(Kg),사람과 매우 친화적이며 온순함,사람 매우 친화 온순
72,446494202200500,[개] 시베리안 허스키,2021(년생),15(Kg),사람과 매우 친화적이며 온순함,사람 매우 친화 온순
73,446494202200499,[개] 믹스견,2019(년생),20(Kg),겁이 많고 사람에 대한 경계가 조금 있음,겁 많 사람 대하 경계 조금 있음
74,446489202200167,[개] 믹스견,2022(년생),1(Kg),"온순함, 어미와 함께 구조",온순 어미 함께 구조
75,446489202200166,[개] 믹스견,2022(년생),1(Kg),"온순함, 어미와 함께 구조",온순 어미 함께 구조
76,446489202200165,[개] 믹스견,2022(년생),1(Kg),"온순함, 어미와 함께 구조",온순 어미 함께 구조
77,446489202200164,[개] 믹스견,2022(년생),1(Kg),"온순함, 어미와 함께 구조",온순 어미 함께 구조
78,446489202200163,[개] 믹스견,2019(년생),6(Kg),"입질 있음, 여우상, 새끼와 함께 구조",입질 있음 여우상 새끼 함께 구조
79,446487202200132,[개] 말티즈,2012(년생),3(Kg),온순하고 사람을 좋아함 목줄미착용 발견 ,온순 사람 좋아하 목줄 미 착용 발견
80,446487202200131,[개] 믹스견,2018(년생),9(Kg),갈색 목줄 착용 온순하고 사람 좋아함,갈색 목줄 착용 순하 사람 좋아하
81,446486202200182,[개] 믹스견,2022(년생),3(Kg),피부병 있음,피부병 있음
82,446486202200181,[개] 믹스견,2022(년생),3(Kg),피부병 있음,피부병 있음
83,446486202200180,[개] 믹스견,2022(년생),2(Kg),피부병 있음,피부병 있음
84,446484202200428,[개] 믹스견,2022(년생),1.5(Kg),믹스 흰색 암컷 1.5개월추정(공고-306 모견),믹스 흰색 암컷 1.5 개월 추정 공고 -306 모 견
85,446484202200427,[개] 믹스견,2022(년생),1.5(Kg),믹스 흰색 수컷 1.5개월추정(공고-306 모견),믹스 흰색 수컷 1.5 개월 추정 공고 -306 모 견
86,446484202200426,[개] 믹스견,2022(년생),1.5(Kg),믹스 흰색 암컷 1.5개월추정(공고-306 모견),믹스 흰색 암컷 1.5 개월 추정 공고 -306 모 견
87,446484202200425,[개] 믹스견,2022(년생),1.5(Kg),믹스 흰색 수컷 1.5개월추정(공고-306 모견),믹스 흰색 수컷 1.5 개월 추정 공고 -306 모 견
88,446484202200424,[개] 믹스견,2022(년생),1.5(Kg),믹스 흰색 수컷 1.5개월추정(공고-306 모견),믹스 흰색 수컷 1.5 개월 추정 공고 -306 모 견
89,446484202200423,[개] 믹스견,2021(년생),8(Kg),믹스 갈색 수컷 1살추정,믹스 갈색 수컷 1 살 추정
90,446483202201115,[개] 믹스견,2019(년생),12(Kg),축사에 들어와 가질않음,축사 들어오 가지
91,446481202200963,[개] 믹스견,2022(년생),5.0(Kg),"3~4개월령. 빨간목띠, 파란 줄 착용. 온순함.",3 4 개 월령 빨갛 목 띠 파 줄 착용 온순
92,446480202201049,[개] 믹스견,2022(년생),5(Kg),"도로를 배회하며 사람을 따라다님,온순함",도로 배회 사람 따라다니 온순
93,446480202201048,[고양이] 한국 고양이,2021(년생),2.7(Kg),온순하고 사람을 따라다님,온순 사람 따라다니
94,446480202201047,[고양이] 한국 고양이,2022(년생),0.09(Kg),주택가 보일러실에 어미가 오지않는 자묘,주택가 보일러실 어미 오 자 묘
95,446480202201046,[고양이] 한국 고양이,2022(년생),0.09(Kg),주택가 보일러실에 어미가 오지않는 자묘,주택가 보일러실 어미 오 자 묘
96,446480202201045,[개] 말티즈,2018(년생),3.3(Kg),"미용됨,활발하나 입질시도",미용 활발 입질 시도
97,446480202201044,[개] 말티즈,2019(년생),4(Kg),"온순하고 잘따름,미용됨,인도를 배회",온순 잘 따름 미용 인도 배회
98,445479202200799,[고양이] 한국 고양이,2022(년생),0.3(Kg),"갈색, 흰색, 귀가 쫑긋함",갈색 흰색 귀 쫑긋 하
99,445479202200798,[고양이] 한국 고양이,2022(년생),2.5(Kg),중성화 후 방사 예정,중성화 후 방사 예정
100,445479202200797,[고양이] 한국 고양이,2022(년생),0.2(Kg),"검정색, 흰색 새끼 고양이 눈을 아직 못뜸",검정색 흰색 새끼 고양이 눈 아직 못 뜸
101,445479202200796,[개] 믹스견,2021(년생),3(Kg),털이 복슬복슬하고 귀가 처짐,털이 복 슬 복 슬하 귀가 처지
102,445475202200157,[개] 진도견,2019(년생),10(Kg),겁이 많으며 순하고 사람을 잘 따름,겁 많 순하 사람 자
103,445470202200899,[개] 믹스견,2022(년생),3(Kg),피부질환,피부 질환
104,445470202200898,[개] 믹스견,2022(년생),3(Kg),피부질환,피부 질환
105,445470202200897,[개] 믹스견,2022(년생),3(Kg),피부질환,피부 질환
106,445470202200896,[개] 믹스견,2022(년생),1.2(Kg),꼬리에 피부질환,꼬리 피부 질환
107,445470202200895,[개] 믹스견,2019(년생),3(Kg),피부질환,피부 질환
108,445470202200894,[고양이] 한국 고양이,2022(년생),0.3(Kg),사진참조,사진 참조
109,445470202200893,[고양이] 한국 고양이,2022(년생),0.3(Kg),사진참조,사진 참조
110,445469202201157,[개] 믹스견,2019(년생),7(Kg),온순,온순
111,445469202201156,[개] 믹스견,2022(년생),3(Kg),온순함,온순
112,445469202201155,[개] 믹스견,2022(년생),3(Kg),온순함,온순
113,445467202201840,[개] 믹스견,2022(년생),1(Kg),생후2개월 추정,생후 2 개월 추정
114,445464202203302,[개] 비숑 프리제,2021(년생),6.5(Kg),털이 미용되어있는 상태,털이 미용 상태
115,445464202203301,[개] 시바,2018(년생),8.3(Kg),중성화 돼있음,중성화 되
116,445464202203300,[개] 웰시 코기 펨브로크,2020(년생),10(Kg),가죽목줄 착용,가죽 목줄 착용
117,445464202203297,[고양이] 한국 고양이,2022(년생),0.3(Kg),탯줄 안떨어짐,탯줄 안 떨어지
118,445464202203296,[고양이] 한국 고양이,2022(년생),0.9(Kg),어미 잃은 고양이,어미 잃 고양이
119,445464202203292,[개] 포메라니안,2020(년생),2.8(Kg),꼬리 분홍색 염색,꼬리 분홍색 염색
120,444568202201134,[개] 믹스견,2020(년생),7.00(Kg),순함,순
121,444558202200058,[개] 믹스견,2019(년생),5(Kg),흰갈색,희 갈색
122,444462202200470,[개] 사모예드,2018(년생),30(Kg),순하고 잘따름,순하 자
123,444454202200561,[고양이] 한국 고양이,2022(년생),0.33(Kg),파보음성(1017),파보 음성 1017
124,444453202200830,[개] 믹스견,2022(년생),2.6(Kg),"입소시 3개월령 추정, 순함, 사람 잘 따름",입 소시 3 개 월령 추정 순 사람 자
125,444453202200829,[개] 믹스견,2022(년생),0.24(Kg),입소 시 7일령 추정,입소 시 7 일령 추정
126,444453202200828,[개] 믹스견,2022(년생),0.16(Kg),입소 시 7일령 추정,입소 시 7 일령 추정
127,444453202200827,[개] 믹스견,2022(년생),0.23(Kg),입소 시 7일령 추정,입소 시 7 일령 추정
128,444453202200826,[개] 믹스견,2022(년생),0.24(Kg),입소 시 7일령 추정,입소 시 7 일령 추정
129,444453202200825,[개] 믹스견,2022(년생),0.22(Kg),입소 시 7일령 추정,입소 시 7 일령 추정
130,444453202200824,[개] 믹스견,2022(년생),0.22(Kg),입소 시 7일령 추정,입소 시 7 일령 추정
131,444453202200823,[개] 믹스견,2019(년생),4.78(Kg),"순함, 자견 6마리와 함께 들어옴",순 자견 6 마리 함께 들어오
132,444453202200822,[고양이] 한국 고양이,2019(년생),9.34(Kg),"교통사고, 순함, 보행시 불편해함",교통사고 순 보행 불편 하
133,444452202201628,[고양이] 한국 고양이,2019(년생),6(Kg),1628호(관리) 864호(공고) 유기된 2두 중 2-2,1628 호 관리 864 호 공고 유기 2
134,444452202201627,[고양이] 한국 고양이,2019(년생),5(Kg),1627호(관리) 863호(공고) 유기된 2두 중 2-1,1627 호 관리 863 호 공고 유기 2
135,443571202202710,[개] 믹스견,2020(년생),8(Kg),귀가 예정,귀가 예정
136,443571202202709,[개] 믹스견,2020(년생),9.2(Kg),목줄 착용 겁이 많은 아이 ,목줄 착용 겁 많 아이
137,443571202202708,[고양이] 러시안 블루,2022(년생),2.5(Kg),"6개월령 추정, 순함",6 개 월령 추정 순
138,443571202202707,[고양이] 한국 고양이,2022(년생),2.7(Kg),5개월 추정 순한 성격 사람 좋아함,5 개월 추정 순 성격 사람 좋아하
139,443571202202706,[고양이] 아비시니안,2022(년생),2(Kg),5~6개월 추정 바이러스성 하반신 마비 추정,5 6 개월 추정 바이러스 성 하반신 마비 추정
140,443571202202698,[개] 믹스견,2020(년생),4.3(Kg),순하며 사람을 좋아함,순 사람 좋아하
141,443571202202697,[개] 믹스견,2020(년생),8.1(Kg),겁이 많은 아이 입질 있을 수 있음,겁 많 아이 입질 있 있음
142,443448202200287,[고양이] 한국 고양이,2022(년생),0.20(Kg),"생후 2주 추정, 기력 없음.",생후 2 주 추정 기력 없
143,443448202200286,[고양이] 한국 고양이,2022(년생),0.20(Kg),"생후 2주 추정, 기력 없음.",생후 2 주 추정 기력 없
144,443448202200285,[고양이] 한국 고양이,2022(년생),0.20(Kg),"생후 2주 추정, 기력 없음.",생후 2 주 추정 기력 없
145,443448202200284,[고양이] 한국 고양이,2022(년생),0.20(Kg),"생후 2주 추정, 기력 없음.",생후 2 주 추정 기력 없
146,443443202200354,[개] 웰시 코기 카디건,2017(년생),8(Kg),[관리번호 354] 성격이 순함,관리 번호 354 성격 순
147,443443202200353,[개] 포메라니안,2017(년생),4(Kg),[관리번호 353] 뒷다리를 절음,관리 번호 353 뒷다리 절음
148,443443202200352,[개] 믹스견,2019(년생),6(Kg),[관리번호 352] 사람을 약간 경계함,관리 번호 352 사람 약간 경계
149,443443202200351,[개] 믹스견,2021(년생),6(Kg),[관리번호 351] 사람을 약간 경계함,관리 번호 351 사람 약간 경계
150,443440202200278,[개] 요크셔 테리어,2012(년생),2.1(Kg),"옷착용, 영양실조, 치매, 신경증상, 치석치주염심함",옷 착용 영양실조 치매 신경 증상 치석 치주염 심
151,442430202200218,[개] 믹스견,2022(년생),1(Kg),순하고 사람을 좋아함,순하 사람 좋아하
152,442430202200217,[개] 믹스견,2022(년생),1(Kg),순하고 사람을 좋아함,순하 사람 좋아하
153,442429202200676,[개] 믹스견,2022(년생),3(Kg),30~40일령정도,30 40 일령 정도
154,442429202200675,[개] 믹스견,2022(년생),8(Kg),3개월정도,3 개월 정도
155,442429202200674,[개] 믹스견,2022(년생),7.5(Kg),3개월정도,3 개월 정도
156,442429202200673,[고양이] 믹스묘,2022(년생),0.65(Kg),40~50일령,40 50 일령
157,442429202200672,[고양이] 믹스묘,2022(년생),0.59(Kg),40~50일령,40 50 일령
158,442429202200671,[고양이] 믹스묘,2022(년생),0.7(Kg),40~50일정도,40 50 일정
159,442429202200670,[고양이] 믹스묘,2022(년생),0.64(Kg),40~50일정도,40 50 일정
160,442429202200669,[고양이] 믹스묘,2022(년생),0.52(Kg),설사 및 결막염 등 건강안좋음,설사 및 결막염 건강 안 좋
161,442429202200668,[고양이] 믹스묘,2022(년생),0.50(Kg),설사및 결막염 등 건강안좋음,설사 및 결막염 건강 안 좋
162,442429202200667,[고양이] 믹스묘,2022(년생),0.53(Kg),30~40일정도,30 40 일정
163,442427202200252,[개] 믹스견,2017(년생),7(Kg),사나움,사나움
164,442427202200251,[개] 믹스견,2018(년생),14(Kg),온순함,온순
165,442421202200245,[개] 믹스견,2021(년생),3(Kg),.,
166,442421202200244,[개] 믹스견,2020(년생),4(Kg),.,
167,442421202200243,[개] 믹스견,2021(년생),2(Kg),.,
168,442421202200242,[개] 말티즈,2018(년생),2(Kg),.,
169,442420202200684,[개] 믹스견,2022(년생),1.3(Kg),"목줄없이 도로에서 발견, 어린 자견",목줄 없이 도로 발견 어리 자견
170,442420202200683,[개] 진도견,2019(년생),20.1(Kg),목줄과 리드줄 착용한채로 도랑에서 발견,목줄 리드 줄 착용 채로 도랑 발견
171,442418202200773,[개] 보더 콜리,2017(년생),15(Kg),"검,흰색, 온순, 칩있음",검 흰색 온순 칩 있음
172,442418202200772,[개] 믹스견,2017(년생),10(Kg),겁이조금있음,겁 조금 있음
173,442418202200771,[개] 믹스견,2021(년생),5(Kg),"연갈색, 겁이많음, 초록목줄",연갈색 겁 많 초록 목줄
174,442418202200770,[개] 푸들,2016(년생),5(Kg),온순,온순
175,442418202200769,[개] 푸들,2017(년생),5(Kg),온순,온순
176,442418202200768,[개] 포메라니안,2016(년생),4(Kg),"흰색, 온순",흰색 온순
177,442418202200767,[개] 푸들,2019(년생),5(Kg),"갈색, 온순, 칩있음",갈색 온순 칩 있음
178,441554202201663,[고양이] 한국 고양이,2022(년생),0.20(Kg),"10-50, 3주령 젖먹이, 젖병수유 필요, 야윔, 오빠보다 많이 작은 크기의 아가, 가족이 필요해요",3 주령 젖먹이 젖병 수유 필요 야위 오빠 많이 작 크기 아가 가족 필요
179,441554202201662,[고양이] 한국 고양이,2022(년생),0.30(Kg),"10-49, 3주령 젖먹이, 젖병수유 필요, 야윔, 가족이 필요해요",3 주령 젖먹이 젖병 수유 필요 야위 가족 필요
180,441554202201661,[고양이] 한국 고양이,2022(년생),0.30(Kg),"10-48, 1개월령, 엄마가 돌아오지 않음, 야윈상태, 귀엽고 사랑스런 쪼꼬미 자매",1 개 월령 엄마 돌아오 야위 상태 귀엽 사랑 미 자매
181,441554202201660,[고양이] 한국 고양이,2022(년생),0.30(Kg),"10-47, 1개월령, 엄마가 돌아오지 않음, 야윈상태, 귀엽고 사랑스런 쪼꼬미 자매",1 개 월령 엄마 돌아오 야위 상태 귀엽 사랑 미 자매
182,441406202201183,[개] 푸들,2020(년생),3.8(Kg),순함 하네스착용,순 네스 착용
183,441405202202815,[개] 믹스견,2021(년생),5.6(Kg),아직 어린아이인 듯 한데 너무 차분하고 점잖아,아직 어린아이 한데 너무 차분 점잖
184,441404202201098,[개] 말티즈,2012(년생),3(Kg),순하고  사람좋아함,순하 사람 좋아하
185,441404202201097,[고양이] 한국 고양이,2022(년생),0.5(Kg),홀로남겨진 애기 캣맘분이 데려옴,홀 남기 애기 데려오
186,441404202201096,[고양이] 한국 고양이,2022(년생),0.7(Kg),박스에 넣어버려진애 캣맘분이 데려옴,박스 넣 진애 데려오
187,441401202201471,[개] 믹스견,2020(년생),6(Kg),"사람에게 호의적, 안기는 것을 좋아함",사람 호의적 안기 좋아하
188,441401202201470,[고양이] 한국 고양이,2022(년생),0.3(Kg),"생후 1개월로 추정, 상태 양호, 우렁찬 울음소리",생후 1 개월 추정 상태 양호 우렁차 울음소리
189,441401202201469,[개] 믹스견,2019(년생),17(Kg),"사람에 대한 경계심이 있는 편, 접힌 귀가 매력적",사람 대하 경계심 있 접히 귀가 매력적
190,441401202201468,[개] 믹스견,2017(년생),31(Kg),"통통한 편, 네눈박이 무늬",통통 눈 박이 무늬
191,441401202201467,[개] 믹스견,2018(년생),22(Kg),"겁이 많고 경계심이 강한편, 터치는 부분적 허용",겁 많 경계심 강하 터치 부분적 허용
192,441401202201466,[개] 퍼그,2019(년생),10.8(Kg),"사람 좋아함, 초롱초롱한 눈망울이 매력적",사람 좋아하 초롱초롱하 눈망울 매력적
193,441400202200579,[고양이] 한국 고양이,2019(년생),2.7(Kg),"식욕부진,구내염 심함",식욕 부진 구내염 심
194,441399202202536,[개] 믹스견,2021(년생),5.0(Kg),목줄없음.,목줄 없
195,441399202202535,[개] 시츄,2021(년생),6.0(Kg),목줄없음.,목줄 없
196,441399202202533,[고양이] 한국 고양이,2021(년생),3.5(Kg),교통사고로 좌측 후지 골절,교통사고 좌측 후지 골절
197,441394202202152,[개] 믹스견,2022(년생),1.7(Kg),강아지,강아지
198,441394202202151,[개] 믹스견,2022(년생),1.6(Kg),강아지,강아지
199,441394202202150,[개] 믹스견,2022(년생),1.5(Kg),강아지,강아지
200,441394202202149,[개] 믹스견,2022(년생),1.5(Kg),강아지,강아지
